Date,open,close,high,low,volumn,price_change,day
2019-03-25,279.9,284,285.85,278.05,142220,-0.0266,2019-03-25
2019-03-26,285.8,281.8,300.05,276.45,308400,0.0211,2019-03-26
2019-03-27,289.1,286.6,291.9,284.3,214840,0.0115,2019-03-27
2019-03-28,296.4,291.85,301,283.85,257100,0.0253,2019-03-28
2019-03-29,289.35,300.05,300.05,286.5,256690,-0.0238,2019-03-29
2019-04-01,284.8,288.6,292.2,284.1,187720,-0.0157,2019-04-01
2019-04-02,278.75,285.8,285.8,277.35,201300,-0.0212,2019-04-02
2019-04-03,274.1,279.9,280.45,271.1,284470,-0.0167,2019-04-03
2019-04-04,275.6,275.7,280,273,120710,0.0055,2019-04-04
2019-04-05,280.1,275.9,282.25,273.4,218730,0.0163,2019-04-05
2019-04-08,276.4,279.7,280,274.1,138520,-0.0132,2019-04-08
2019-04-09,276.25,279,280.1,274.2,123610,-0.0005,2019-04-09
2019-04-10,273.8,275,277.95,273.15,73960,-0.0089,2019-04-10
2019-04-11,273.85,273,275.65,272.05,66030,0.0002,2019-04-11
2019-04-12,274.35,273.85,278.65,273,74720,0.0018,2019-04-12
2019-04-15,273.85,276.2,277.95,273.2,95220,-0.0018,2019-04-15
2019-04-16,272.5,276.45,276.45,271.15,83920,-0.0049,2019-04-16
2019-04-18,264.2,271,273.45,262.2,96470,-0.0305,2019-04-18
2019-04-22,264,263.45,264.9,261.5,60810,-0.0008,2019-04-22
2019-04-23,262.45,267,267.05,261.1,62220,-0.0059,2019-04-23
2019-04-24,267.25,263.7,268.95,261.1,51990,0.0183,2019-04-24
2019-04-25,273.6,267.25,275,265,84680,0.0238,2019-04-25
2019-04-26,267.15,273.6,274.9,266.1,267300,-0.0236,2019-04-26
2019-04-30,259.6,276,285.5,257.15,262730,-0.0283,2019-04-30
2019-05-02,262.8,262,264.65,260.15,63710,0.0123,2019-05-02
2019-05-03,260.7,263,268.95,260.1,73230,-0.008,2019-05-03
2019-05-06,259.55,255.7,260,255.7,34430,-0.0044,2019-05-06
2019-05-07,251.25,263.4,263.4,250.25,71750,-0.032,2019-05-07
2019-05-08,251.5,249.3,254.65,249.15,51470,0.001,2019-05-08
2019-05-09,250.65,252.45,253.25,248.15,259240,-0.0034,2019-05-09
2019-05-10,250.05,251.1,254.05,246.5,109220,-0.0024,2019-05-10
2019-05-13,246,251,252,241.2,110670,-0.0162,2019-05-13
2019-05-14,245.4,244.9,247.85,241.2,36830,-0.0024,2019-05-14
2019-05-15,241.55,247,247.45,240.85,29230,-0.0157,2019-05-15
2019-05-16,243.1,241.55,245.7,241.25,38700,0.0064,2019-05-16
2019-05-17,240.9,241.8,244.75,240.1,36480,-0.009,2019-05-17
2019-05-20,248.5,246.5,251.4,244.75,77100,0.0315,2019-05-20
2019-05-21,246.25,250.85,250.85,245.1,22790,-0.0091,2019-05-21
2019-05-22,250.7,247.75,253.9,245.3,39580,0.0181,2019-05-22
2019-05-23,250.8,254.85,254.85,247,111160,0.0004,2019-05-23
2019-05-24,249.6,251.15,253,247,102770,-0.0048,2019-05-24
2019-05-27,242.7,249.6,249.65,241.1,111000,-0.0276,2019-05-27
2019-05-28,245.8,243.7,249.5,241.1,93710,0.0128,2019-05-28
2019-05-29,251.35,246.95,253.4,245.45,123620,0.0226,2019-05-29
